business,license,email,phone,city,zip,county,license_type
"ABRAXAS LABS, LLC 
Trade Name: ABRAXAS LABS",LAAA-MOXZ-FQ1G,DRVADIM@ABRAXAS-LABS.COM,9189245164,BROKEN ARROW,74012,TULSA,laboratory
"BASELINE LABORATORIES LLC 
Trade Name: BASELINE LABORATORIES LLC",LAAA-4KTI-YEVJ,BMOSLEY@BASELINE-LABS.COM,4053902522,CHOCTAW,73020,OKLAHOMA,laboratory
"BUD'S TESTING L.L.C 
Trade Name: BUD'S TESTING L.L.C ANALYTICAL LABORATORY",LAAA-VYI5-JUJK,BRANDON@BUDSTESTING.COM,5807862173,DUNCAN,73533,STEPHENS,laboratory
"QUALITY CANNABIS, LLC 
Trade Name:",LAAA-NY91-LPUX,WEBBCRYSTAL77@YAHOO.COM,4054715367,EDMOND,73003,OKLAHOMA,laboratory
"EXPRESS TOXICOLOGY SERVICES LLC 
Trade Name:",LAAA-E1LK-2BLG,"INFO@EXPRESSTOXICOLOGYSERVIC
ES.COM",4052165788,EDMOND,73013,OKLAHOMA,laboratory
"HAVARD INDUSTRIES, LLC 
Trade Name:",LAAA-8SPC-5FH4,JHAVARD@PROTONMAIL.COM,4058880961,EDMOND,73034,OKLAHOMA,laboratory
"TJB RESTRICTED HOLDINGS LLC 
Trade Name: GENESIS TESTING LABORATORIES",LAAA-EKZ6-UNEB,"TONY.BRIXEY@GENESISTESTINGLAB
S.COM",9187913460,GROVE,74344,DELAWARE,laboratory
"405 ANALYTICAL LLC 
Trade Name:",LAAA-NYWH-5XOE,laboratory@405analytical.com,4055485734,MIDWEST CITY,73110,OKLAHOMA,laboratory
"RHINO LABS 
Trade Name:",LAAA-NYJX-RQRM,RYAN@RHINOLABSOK.COM,4054657676,NORMAN,73069,CLEVELAND,laboratory
"ANALYTICAL EDGE DISCOVERIES, LLC 
Trade Name: KAYCHA LABS","LAAA-HHN8-
MXQQ",ROBERT@KAYCHALABS.COM,4053703776,OKLAHOMA CITY,73105,OKLAHOMA,laboratory
"SCISSORTAIL LABORATORY, LLC 
Trade Name:",LAAA-NKSL-JY3L,INFO@SCISSORTAILLABS.COM,4057880247,OKLAHOMA CITY,73107,OKLAHOMA,laboratory
"INTEGRITY TESTING LABORATORIES LLC 
Trade Name:",LAAA-SSUC-08SY,CHARLESBOGIEMD@ME.COM,4055943773,OKLAHOMA CITY,73112,OKLAHOMA,laboratory
"CANNABIS TESTING LLC 
Trade Name: CANNABEST LABS",LAAA-4YOC-PGXU,RBRITTEN@CANNABESTLABS.COM,4054882400,OKLAHOMA CITY,73118,OKLAHOMA,laboratory
"HIGHGRADE LABS 
Trade Name:",LAAA-NKSE-J8CM,LAB@HIGHGRADELABS.COM,4057248444,OKLAHOMA CITY,73129,OKLAHOMA,laboratory
"PURELABS-OKC 
Trade Name: PURELABS",LAAA-NJR1-YZAD,HPURDY@PURELABSOKC.COM,4058856411,OKLAHOMA CITY,73139,OKLAHOMA,laboratory
"DELTA9 LABS LLC 
Trade Name:",LAAA-4KCW-FBED,INFO@DELTA9LABSLLC.COM,5803049392,PONCA CITY,74601,KAY,laboratory
"HIGHER TESTING, LLC 
Trade Name: HIGHER TESTING, LLC",LAAA-VK6A-DPMO,INFO@HIGHERTESTING.COM,9185718757,ROLAND,74954,SEQUOYAH,laboratory
"ELITE ELEMENT TESTING LABORATORY, LLC 
Trade Name: STEEP HILL OKLAHOMA",LAAA-NJT2-DMOG,"KANDICE.FAULKENBERRY@OK.STEE
PHILL.COM",9183157892,SALLISAW,74955,SEQUOYAH,laboratory
"GREEN COUNTRY TESTING, INC. 
Trade Name:",LAAA-AYUG-T2AU,"BRIAND@GREENCOUNTRYTESTING.
COM",9188289977,TULSA,74145,TULSA,laboratory
"OK COMPLIANCE TESTING LAB, LLC 
Trade Name: OKCTL",LAAA-N1FX-P5VY,EPHILLIPS@OKCTL.COM,9188727015,TULSA,74146,TULSA,laboratory
"T3 TESTING LLC 
Trade Name: SPECIALTY TESTING SOLUTIONS OKLAHOMA",LAAA-A0B5-KFMY,SCAMPBELL@STSOKLAHOMA.COM,9186450458,TULSA,74146,TULSA,laboratory
"CANNALYTICS LABORATORIES, LLC 
Trade Name: CANNALYTICS LABORATORIES, LLC",LAAA-4YTM-SXWD,WOK@PROCANNALYTICS.COM,5803028196,WEATHERFORD,73096,CUSTER,laboratory
